part_id,zone_fid,paddock_name,community,community_short,conserved,n_pixels_part,area_ha,period,period_label,n_years,floor_mean,inund_mean,published_predicted_floor,published_residual,support_level,unit,cluster_column,weighting,estimand,y_variable,x_variable
01_inland,1,Bala 26ca,Inland Floodplain Shrublands / Swamps,inland,1,32399,2020.123928705111,cropping_era,1988-2013,26,69.86149911146899,43.19613076923077,77.91459853818348,-8.053099426714496,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
01_riverine,1,Bala 26ca,Riverine Chenopod Shrublands,riverine,1,636,39.65550846188001,cropping_era,1988-2013,26,57.422561590488144,10.722065384615384,58.68211265939371,-1.2595510689055658,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
02_inland,2,Bala 27ca,Inland Floodplain Shrublands / Swamps,inland,1,23908,1490.697950167653,cropping_era,1988-2013,26,68.56388569611771,28.275692307692307,69.07809720648275,-0.514211510365044,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
03_inland,3,Bala 28ca,Inland Floodplain Shrublands / Swamps,inland,1,18272,1139.285299709861,cropping_era,1988-2013,26,76.6926547563993,48.255426923076925,80.91092316471327,-4.2182684083139605,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
03_riverine,3,Bala 28ca,Riverine Chenopod Shrublands,riverine,1,3704,230.94969079057165,cropping_era,1988-2013,26,53.67338712398821,8.92175,57.615891359353256,-3.9425042353650426,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
04_aeolian,4,Bala 29ca,Aeolian Chenopod Shrublands,aeolian,1,11848,738.7397236735131,cropping_era,1988-2013,26,25.983657239033622,2.894023076923077,54.04602194028757,-28.06236470125395,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
04_inland,4,Bala 29ca,Inland Floodplain Shrublands / Swamps,inland,1,12687,791.0525721004273,cropping_era,1988-2013,26,67.03089615748478,13.848219230769232,60.53355038328158,6.497345774203197,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
04_riverine,4,Bala 29ca,Riverine Chenopod Shrublands,riverine,1,12141,757.0086921944736,cropping_era,1988-2013,26,31.084563174614537,5.106034615384616,55.35606674599077,-24.27150357137624,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
05_inland,5,Bala 1,Inland Floodplain Shrublands / Swamps,inland,0,9808,611.542809739181,cropping_era,1988-2013,26,70.98385945833647,11.86551153846154,59.359308807967736,11.624550650368732,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
05_riverine,5,Bala 1,Riverine Chenopod Shrublands,riverine,0,318,19.827754230940005,cropping_era,1988-2013,26,63.46602213932918,2.455246153846154,53.78616008199946,9.67986205732972,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
06_inland,6,Bala 2,Inland Floodplain Shrublands / Swamps,inland,0,26087,1626.5617126494717,cropping_era,1988-2013,26,68.38748791768002,8.934888461538462,57.62367250018101,10.76381541749901,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
06_riverine,6,Bala 2,Riverine Chenopod Shrublands,riverine,0,1956,121.9593939488008,cropping_era,1988-2013,26,61.61932785694416,1.213226923076923,53.050584876553486,8.568742980390674,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
07_inland,7,Bala 3,Inland Floodplain Shrublands / Swamps,inland,0,20725,1292.2333535730554,cropping_era,1988-2013,26,63.57180519104004,8.30620769230769,57.25134172258069,6.320463468459344,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
08_inland,8,Bala 4,Inland Floodplain Shrublands / Swamps,inland,0,5578,347.79626761063946,cropping_era,1988-2013,26,76.95702555729794,25.876380769230767,67.65712558695341,9.299899970344526,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
09_inland,9,Bala 5,Inland Floodplain Shrublands / Swamps,inland,0,22252,1387.443984738607,cropping_era,1988-2013,26,66.40538740158081,15.654596153846152,61.6033615773339,4.802025824246911,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
09_riverine,9,Bala 5,Riverine Chenopod Shrublands,riverine,0,2132,132.9332453470569,cropping_era,1988-2013,26,62.05178554608272,2.7763730769230768,53.97634473982497,8.075440806257753,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
10_inland,10,Bala 6,Inland Floodplain Shrublands / Swamps,inland,0,18947,1181.372513879309,cropping_era,1988-2013,26,73.01189754926241,14.342442307692307,60.82624974923156,12.185647800030855,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
10_riverine,10,Bala 6,Riverine Chenopod Shrublands,riverine,0,13478,840.3725519641805,cropping_era,1988-2013,26,64.48795618644128,2.683573076923077,53.92138473810011,10.566571448341172,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
11_inland,11,Bala 9,Inland Floodplain Shrublands / Swamps,inland,0,4101,255.70320786504703,cropping_era,1988-2013,26,65.7152024782621,25.95426923076923,67.70325435829501,-1.9880518800329128,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
12_inland,12,Bala 12,Inland Floodplain Shrublands / Swamps,inland,0,15076,940.010134546074,cropping_era,1988-2013,26,72.31059998732347,40.2614,76.17652948496232,-3.865929497638845,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
12_riverine,12,Bala 12,Riverine Chenopod Shrublands,riverine,0,495,30.863957057595293,cropping_era,1988-2013,26,58.2317698625418,12.719500000000002,59.86507612821735,-1.6333062656755573,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
13_inland,13,Bala 13,Inland Floodplain Shrublands / Swamps,inland,0,12762,795.7289292303659,cropping_era,1988-2013,26,75.08313151873075,28.32326538461538,69.10627195206195,5.976859566668807,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
14_inland,14,Bala 15,Inland Floodplain Shrublands / Swamps,inland,0,8452,526.9942728298897,cropping_era,1988-2013,26,46.10995915119464,25.30807692307692,67.32055252267689,-21.21059337148225,pixel,part (paddock x community),zone_fid (paddock),pixel-weighted by the unit's cell count (n_pixels_part / n_cells),BETWEEN-UNIT: how the across-year mean floor differs between parts that differ in wetness,floor_mean = mean over years of veg_p05_spatial (%),inund_mean = mean over years of the share of the part's cells seen wet (%)
