paddock,zone_fid,dominant_community,n_paddock_non_treed,n_paddock_all_classes,n_subset,top_panel_mean_pct,temporal1_x_pct,check1_delta_pp,check1_pass,subset_flood_freq_pct,check2_delta_pp,check2_pass,temporal1_y_pct,dashboard_floor_subset_pct,subset_share_of_non_treed_pct,check3_delta_pp,check3_applicable,check3_pass,pct_if_denominator_is_non_treed,pct_if_denominator_is_all_classes,check4_denominator_gap_pp,support_level,unit,period_label,weighting,scope_filter,estimand
Bala 26ca,1,Inland Floodplain Shrublands / Swamps,33035,33035,32399,45.2919630694718,45.29,-0.0019630694717989172,True,45.91913986206055,0.6271781921386719,False,70.26922,71.1214370727539,98.07476918419857,-0.852217072753902,False,,98.07476918419857,98.07476918419857,0.0,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 28ca,3,Inland Floodplain Shrublands / Swamps,21986,25069,18272,43.3572988714962,43.34,-0.01729887149619458,True,49.68210220336914,6.338672637939453,False,70.71847,74.91849517822266,83.1074320021832,-4.20002517822266,False,,83.1074320021832,72.88683234273405,10.22059965944915,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 29ca,4,Inland Floodplain Shrublands / Swamps,36676,38821,12687,8.52733589891404,8.53,0.0026641010859584924,True,15.920007705688477,7.392671585083008,False,51.05198,55.772613525390625,34.59210382811648,-4.720633525390625,False,,34.59210382811648,32.68076556502923,1.911338263087245,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 22,20,Inland Floodplain Shrublands / Swamps,5266,5266,5266,58.8975096305138,58.9,0.0024903694861961867,True,58.89751052856445,0.0,True,80.319954,80.31995391845703,100.0,8.154296438078745e-08,True,True,100.0,100.0,0.0,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 6,10,Inland Floodplain Shrublands / Swamps,32425,32425,18947,10.5450379997797,10.55,0.004962000220301022,True,15.82610034942627,5.281062126159668,False,52.309635,62.19501876831055,58.43330763299923,-9.885383768310547,False,,58.43330763299923,58.43330763299923,0.0,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Dinan 9,56,Inland Floodplain Shrublands / Swamps,27306,29641,16588,11.5128020006069,11.51,-0.002802000606900279,True,12.093079566955566,0.5802774429321289,False,45.0058,45.720951080322266,60.74855343148026,-0.7151510803222649,False,,60.74855343148026,55.96302418946729,4.78552924201297,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 12,12,Inland Floodplain Shrublands / Swamps,15571,20002,15076,39.6054937291852,39.61,0.004506270814800928,True,40.34605407714844,0.7405624389648438,False,73.037186,73.91184997558594,96.82101342238778,-0.874663975585932,False,,96.82101342238778,75.37246275372463,21.448550668663145,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 17,15,Inland Floodplain Shrublands / Swamps,11970,11970,11970,27.4156820622986,27.42,0.00431793770140132,True,27.415681838989258,0.0,True,61.8669,61.866905212402344,100.0,-5.212402342635869e-06,True,True,100.0,100.0,0.0,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 19,17,Inland Floodplain Shrublands / Swamps,13332,13332,13332,29.1483434057691,29.15,0.0016565942308979231,True,29.14834213256836,0.0,True,60.087364,60.087364196777344,100.0,-1.967773428646069e-07,True,True,100.0,100.0,0.0,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
Bala 20,18,Inland Floodplain Shrublands / Swamps,12653,12653,9651,37.503923406081,37.5,-0.00392340608100028,True,42.12886428833008,4.624942779541016,False,65.715294,71.79582977294922,76.27440132774836,-6.080535772949219,False,,76.27440132774836,76.27440132774836,0.0,pixel,paddock (management zone),1988-2022 (35 water years),unweighted over cells,treed_context_flag = 0 AND regime_band <> 'context' unless a column says otherwise,"DZ reconciliation between TEMPORAL-1 and dashboard v2, per unit"
