"row_type","period","period_label","cluster_value","paddock_name","n_parts_dropped","slope_all","slope_without","slope_delta","part_id","community_short","residual_in_sample","residual_cluster_deleted","hat_leverage","support_level","unit","weighting","estimand","cluster","source_sha256_first50","interval_status","deletion_rule"
"drop_one_cluster","whole_record","1988-2022",1,"Bala 26ca",2,0.547273733307921,0.584913333858448,0.0376396005505263,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",2,"Bala 27ca",1,0.547273733307921,0.547941015854818,0.000667282546896852,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",3,"Bala 28ca",2,0.547273733307921,0.558443509572187,0.011169776264266,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",4,"Bala 29ca",3,0.547273733307921,0.469218432571937,-0.0780553007359839,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",5,"Bala 1",2,0.547273733307921,0.553671202073158,0.00639746876523717,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",6,"Bala 2",2,0.547273733307921,0.576703519026279,0.0294297857183575,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",7,"Bala 3",1,0.547273733307921,0.556414504761124,0.00914077145320225,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",8,"Bala 4",1,0.547273733307921,0.54679188501128,-0.000481848296641219,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",9,"Bala 5",2,0.547273733307921,0.555795631269846,0.00852189796192437,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
"drop_one_cluster","whole_record","1988-2022",10,"Bala 6",2,0.547273733307921,0.586710558474033,0.0394368251661118,,,,,,"pixel","part (paddock x community)","pixel-weighted by the part's cell count","BETWEEN-UNIT (across parts)","zone_fid (paddock)","77e3ef0aecd1497c187d930959110d994081c800b510c78004514a007126494a","diagnostic - NOT registered, and nothing here is proposed for registration","the whole paddock is removed and the slope refitted"
